Actual,Pred_by_Title,pred_by_body,pred_by_ques,pred_by_OR
path servlets tomcat jsp,tomcat,,tomcat,tomcat
ado.net c#,,,,
,,,,
ios objective-c iphone,,iphone objective-c,iphone objective-c,ios iphone objective-c
cron,,,,
internet-explorer css,css,css jquery,css,css jquery
django-views django-templates django python,django,,,django
safari forms apple ios,image ios safari,ios,ios,image ios
django,django python,,django,django python
android-listview android-layout xml android java,android listview,android layout listview,android android-layout layout listview,android layout listview
numbers jquery,jquery,javascript jquery,javascript jquery,javascript jquery
wildcard subdomain dns .htaccess php,,,,
iphone,iphone,iphone,iphone,iphone
rest json ruby,json,,,json
tfs2010 tfs,tfs,tfs,tfs,tfs
parsing checkbox arrays html php,parsing,php,php,parsing php
spring maven eclipse project,java spring,,,java spring
apache,xslt,,,
http rest jersey delete,,java,java,java
collections java,java,java,java,java
jquery javascript,javascript,javascript,javascript,javascript
,,,,
ldap active-directory security java,,java,java,java
facebook-graph-api facebook xcode objective-c,facebook facebook-graph-api,,facebook facebook-graph-api,facebook facebook-graph-api
process unix,unix,,,unix
asp.net xml,xslt,,,xslt
node.js,c# node.js,node.js,,c# node.js
sqlite listview android java,android listview sqlite,android,android,android listview sqlite
android,,android,android,android
matrix c++,c++,,,c++
orm jpa hibernate database java,c# hibernate java,,,c# hibernate java
virtualhost apache2,apache2,apache2,apache2,apache2
sqlite couchdb database android ios,sqlite,sqlite,sqlite,sqlite
annotations hibernate java,hibernate java,hibernate java,hibernate java orm,hibernate java orm
eclipse-rcp eclipse-plugin eclipse,javascript,javascript,javascript,javascript
plone,installation,,,
asp.net-mvc asp.net,asp.net-mvc,c#,asp.net-mvc c#,asp.net asp.net-mvc c#
windows-xp,,,,
mysql php,mysql sql,mysql sql,mysql sql,mysql sql
hex casting types postgresql,c#,,,c#
vb6,,,,
xslt xml .net html c#,.net html xml xslt,,,.net html xml xslt
jquery,javascript jquery,javascript jquery,javascript jquery,javascript jquery
sqlite sqlite3,sqlite,,sqlite,sqlite
django-admin web-applications django,django django-admin,django,django,django
resolution video,video,,video,video
junit gradle unit-testing logging java,unit-testing,java,unit-testing,java unit-testing
tracking flash,flash,,actionscript-3,actionscript-3 flash
facebook android,,,,
virtual-machine multiple-monitors mouse virtualbox keyboard,,windows,windows,windows
ms-access database,,,,
dataset sql-server database .net,,,,
http,http,ruby,,http ruby
entity-framework java,.net entity-framework entity-framework-4 java,java,entity-framework java,.net entity-framework entity-framework-4 java
ipv6,,,,
wcf .net c#,sql sql-server stored-procedures wcf,sql-server sql-server-2005 wcf,sql sql-server wcf,sql sql-server stored-procedures wcf
nsurl nsxmlparser objective-c iphone,,,,
cron dns script ubuntu,,,,
facebook php,facebook facebook-graph-api,facebook facebook-graph-api php,facebook facebook-graph-api php,facebook facebook-graph-api php
memory-allocation memory air flex4 image,air,,air,air
7zip zip c#,c#,,c#,c#
angularjs,http,,,http
ruby javascript,ajax forms javascript ruby ruby-on-rails,javascript,javascript,forms javascript ruby ruby-on-rails
arrays c++,arrays,,c++,arrays c++
django,file-upload image upload,,file-upload image python,django file-upload image upload
beamer,beamer,,,beamer
syntax string html php,html php string,php,php,html php string
vb.net asp.net,,asp.net vb.net,asp.net vb.net,asp.net vb.net
sdk android,,,,
contact emulator android,android,,android,android
glassfish jms java,,java,java,java
ms-word replace c# text,c#,c# ms-word,c#,c# ms-word
c#,,c++,c++ memory,
ssrs-2008 reporting-services,sql,,,sql
mediaelement.js,audio firefox flash,firefox,firefox,audio firefox flash
cursor jpa-2.0 tsql java-ee stored-procedures,sql-server stored-procedures,eclipse eclipselink java jpa,eclipse eclipselink java jpa,eclipse eclipselink java jpa sql-server stored-procedures
solr,solr,,,solr
forms ruby-on-rails-3 ruby-on-rails,forms ruby-on-rails ruby-on-rails-3,activerecord ruby-on-rails,activerecord ruby-on-rails,activerecord forms ruby-on-rails
css3 webkit javascript ios,css3,,ios,css3
url ssl,ssl,asp.net,,ssl
ruby regex,regex,regex string,regex string,regex
download wget,download,proxy,proxy,download
iframe html javascript,,,,
live-streaming ffmpeg,android,android ffmpeg,android ffmpeg,android ffmpeg
colors message text java,,,,
knockout.js html javascript,html jquery,html jquery,html jquery,html jquery
uiwebview ios objective-c,ios iphone objective-c,android ios webview,android ios webview,android ios iphone objective-c webview
sorting ruby,ruby,,ruby,ruby
ruby-on-rails jquery,javascript jquery ruby-on-rails,jquery,jquery,javascript jquery ruby-on-rails
vb.net asp.net,asp.net,,,asp.net
maven jboss7.x,java,,java,java jboss
oop winforms c#,c# datagridview winforms,c# winforms,c# winforms,c# datagridview winforms
android-listview android-button android,android,android xml,android xml,android xml
coffeescript inline iteration,,,,arrays
java,,java,java,java
solr hosting search apache,apache apache2 solr,solr,solr,apache apache2 solr
web service iphone,iphone web-services,,iphone,iphone web-services
charts flash javascript,javascript xml,javascript,javascript xml,javascript xml
xml c++,xml,,xml,xml
xml php,java php,java xml,java xml,java php xml
oracle,oracle,,,oracle
plot vba excel,,excel,excel,excel
excel xml,excel xml,xml,xml,excel xml
python-3.x random regex python,regex,python,python,python regex
